"CITY","STATE","Lat","Lon"
"CONCORD","NH","43.2?N","71.5?W"
"CORPUS_CHRISTI","TX","27.77?N","97.51?W"
"DALLAS_FT_WORTH","TX","32.85?N","96.86?W"
"DAYTON","OH","39.83?N","84.05?W"
"DAYTONA_BEACH","FL","29.17?N","81.07?W"
"DENVER","CO","39.9?N","105.1?W"
"DES_MOINES","IA","41.53?N","93.65?W"
"DETROIT","MI","42.41?N","83.01?W"
"DULUTH","MN","46.72?N","92.04?W"
"EL_PASO","TX","31.81?N","106.38?W"
"ELKINS","WV","38.89?N","79.85?W"
"ERIE","PA","42.08?N","80.18?W"
"EUGENE","OR","44.13333?N","123.21444?W"
"EVANSVILLE","IN","38.04?N","87.52?W"
"FAIRBANKS","IN","39.01?N","87.65?W"
"FARGO","ND","46.93?N","96.81?W"
"FLAGSTAFF","AZ","35.14433?N","111.66637?W"
"FLINT","MI","42.97?N","83.75?W"
"FORT_SMITH","AR","35.33?N","94.37?W"
"FORT_WAYNE","IN","40.97?N","85.21?W"
"FRESNO","CA","36.78?N","119.71944?W"
"GOODLAND","KS","39.37?N","101.69?W"
"GRAND_JUNCTION","CO","39.13389?N","108.53861?W"
"GRAND_RAPIDS","MI","42.88?N","85.52?W"
"GREAT_FALLS","MT","47.47333?N","111.38222?W"
"GREEN_BAY","WI","44.48?N","88.14?W"
"GREENSBORO","NC","36.1?N","79.94?W"
"HARRISBURG","PA","40.22?N","76.86?W"
"HARTFORD_SPGFLD","CT","41.74?N","72.65?W"
"HELENA","MT","46.60445?N","111.9892?W"
"HONOLULU","HI","21.33?N","157.94?W"
"HOUSTON","TX","29.64?N","95.28?W"
"HUNTSVILLE","AL","34.68?N","86.68?W"
"INDIANAPOLIS","IN","39.73?N","86.28?W"
"JACKSON","MS","32.33?N","90.22?W"
"JACKSONVILLE","FL","30.23?N","81.67?W"
"JUNEAU","AK","58.35?N","134.58?W"
"KANSAS_CITY","MO","39.12?N","94.6?W"
"KEY_WEST","FL","24.56?N","81.76?W"
"KNOXVILLE","TN","35.82?N","83.99?W"
"LAKE_CHARLES","LA","30.13?N","93.23?W"
"LANSING","MI","42.78?N","84.6?W"
"LAS_VEGAS","NV","36.21205?N","115.19395?W"
"LEXINGTON","KY","38.03?N","84.61?W"
"LINCOLN","NE","40.83?N","96.76?W"
"LITTLE_ROCK","AR","34.73?N","92.24?W"
"LOS_ANGELES","CA","34.02355?N","118.29122?W"
"LOUISVILLE","KY","38.17?N","85.74?W"
"LUBBOCK","TX","33.67?N","101.82?W"
"MACON","MO","40.1?N","92.54?W"
"MADISON","WI","43.14?N","89.35?W"
"MEDFORD","OR","42.37503?N","122.87696?W"
"MEMPHIS","TN","35.06?N","89.99?W"
"MIAMI_BEACH","FL","25.91?N","80.28?W"
"MIDLAND_ODESSA","TX","32.04?N","102.1?W"
"MILWAUKEE","WI","42.96?N","87.9?W"
"MPLS_ST_PAUL","MN","44.93?N","93.06?W"
"MISSOULA","MT","46.92083?N","114.0925?W"
"MOBILE","AL","30.61?N","88.06?W"
"MONTGOMERY","AL","32.3?N","86.41?W"
"NASHVILLE","TN","36.12?N","86.69?W"
"NEW_ORLEANS","LA","30.05?N","90.03?W"
"NEW_YORK_CITY","NY","40.78?N","73.97?W"
"NEWARK","NJ","40.68?N","74.17?W"
"NORFOLK","VA","36.93?N","76.3?W"
"NORTH_PLATTE","NE","41.12?N","100.67?W"
"OKLAHOMA_CITY","OK","35.39?N","97.6?W"
"OMAHA","NE","41.31?N","95.9?W"
"ORLANDO","FL","28.55?N","81.34?W"
"PADUCAH","KY","37.06?N","88.77?W"
"PENDLETON","OR","45.69757?N","118.83444?W"
"PEORIA","IL","40.67?N","89.68?W"
"PHILADELPHIA","PA","39.87?N","75.23?W"
"PHOENIX","AZ","33.427799?N","112.003465?W"
"PITTSBURGH","PA","40.36?N","79.92?W"
"POCATELLO","ID","42.88987?N","112.43237?W"
"PORTLAND","ME","43.64?N","70.3?W"
"PORTLAND","OR","45.59578?N","122.60917?W"
"PROVIDENCE","RI","41.72?N","71.43?W"
"PUEBLO","CO","38.29?N","104.51?W"
"RALEIGH_DURHAM","NC","35.89?N","78.78?W"
"RAPID_CITY","SD","44.05?N","103.05?W"
"RENO","NV","39.546?N","119.826?W"
"RICHMOND","CA","37.8771?N","122.2486?W"
"ROANOKE","VA","37.32?N","79.97?W"
"ROCHESTER","NY","43.12?N","77.68?W"
"ROCKFORD","IL","42.19?N","89.09?W"
"SACRAMENTO","CA","38.50674?N","121.49597?W"
"ST_LOUIS","MO","38.75?N","90.37?W"
"ST_PETERSBURG","FL","27.77?N","82.63?W"
"ST_THOMAS","VI","18.34?N","64.97?W"
"SALEM","OR","44.90493?N","123.00096?W"
"SALT_LAKE_CITY","UT","40.77069?N","111.96503?W"
"SAN_ANGELO","TX","31.35?N","100.49?W"
"SAN_ANTONIO","CA","38.14178?N","122.55463?W"
"SAN_DIEGO","CA","32.73361?N","117.18306?W"
"SAN_FRANCISCO","CA","37.77056?N","122.42694?W"
"SAN_JOSE","CA","37.35917?N","121.92417?W"
"SAN_JUAN","PR","18.45?N","66?W"
"SANTA_FE","NM","35.61?N","106.1?W"
"ST_STE_MARIE","IL","38.72?N","88.18?W"
"SAVANNAH","GA","32.02?N","81.15?W"
"SEATTLE","WA","47.65?N","122.31?W"
"SHREVEPORT","LA","32.45?N","93.82?W"
"SIOUX_CITY","IA","42.4?N","96.38?W"
"SIOUX_FALLS","SD","43.58?N","96.75?W"
"SOUTH_BEND","IN","41.71?N","86.32?W"
"SPOKANE","WA","47.68556?N","117.32028?W"
"SPRINGFIELD","IL","39.85?N","89.68?W"
"SPRINGFIELD","MO","37.24?N","93.39?W"
"SYRACUSE","NY","43.11?N","76.1?W"
"TALLAHASSEE","FL","30.4?N","84.35?W"
"TAMPA","FL","27.96?N","82.54?W"
"TOLEDO","OH","41.74?N","83.66?W"
"TOPEKA","KS","39.07?N","95.63?W"
"TUCSON","AZ","32.16667?N","110.88333?W"
"TULSA","OK","36.2?N","95.89?W"
"TUPELO","MS","34.27?N","88.77?W"
"WACO","TX","31.62?N","97.23?W"
"WASHINGTON_DC","MD","38.85?N","77.03?W"
"W_PALM_BEACH","FL","26.69?N","80.1?W"
"WICHITA","KS","37.65?N","97.43?W"
"WICHITA_FALLS","TX","33.98?N","98.49?W"
"WILKES_BARRE","PA","41.34?N","75.73?W"
"WILMINGTON","DE","39.67?N","75.61?W"
"YAKIMA","WA","46.56402?N","120.53484?W"
"YOUNGSTOWN","OH","41.25?N","80.67?W"
"YUMA","AZ","32.65944?N","114.59306?W"
